tree_id,x,y,height,dbh,crown_radius,base_height,crown_area,crown_volume,intensity_std
505,83.99010000010338,41.12039999954552,9.8,0,2.7,7.7,21.8,63.8,9.686863569464816
506,21.35910000005122,19.715399999750403,9.6,0.076,14.725,6,520.1,4222.4,9.463833996018886
507,63.507100000095924,31.900399999806282,6.3,0.09,0.7250000000000001,1.3,1.4,0.9,12.356393625786374
508,53.43510000005215,60.23139999957904,16.9,0.17,2.825,8,21.3,131,11.22642256934803
509,84.61410000005588,62.13739999953806,2.3,0.105,0.1,2.2,0,0,8.848653951227963
510,38.06210000003073,36.733399999906865,15.8,0.101,3.025,9.4,25.4,107,13.68630711310825
511,61.33810000010151,73.39639999961629,7.3,0.078,2.05,1.9,11.7,36.6,9.440599908521486
512,43.5431000000596,27.874399999735502,8.4,0.058,3.025,4.5,20,36,10.037410207809437
513,67.09510000008476,43.29339999949708,12.6,0.151,3.05,4.2,24.2,52.5,10.74945079486282
514,74.64410000008382,29.13639999983981,12.4,0.079,7.725,6.5,154.5,1002.7,11.419720534073338
515,52.95910000002794,70.14839999947846,4,0.064,0.6,1.6,0.9,1.9,13.218584861342936
516,62.40510000002421,75.23339999990688,4.5,0.252,2.225,2.2,11.9,29.3,10.035937300511373
517,57.5441000001071,30.854399999716875,16.3,0.367,2.8,3.3,23.6,129.1,11.447202099591063
518,22.129100000069847,55.53439999988451,4.1,0.131,4.275,2.3,45.6,119.8,6.770456981964181
519,43.74610000003912,73.40939999988451,1.8,0,0.275,1.3,0.1,0.1,11.736320276455038
520,25.13810000003167,30.151399999504534,14.9,0,4.3,11.5,57.3,239.5,9.36046383842204
521,56.53410000009779,67.25739999964982,4.9,0.038,0.85,1.9,2,4.2,14.840272765578558
522,26.795100000038175,26.24839999957159,10.5,0,1.7,6.2,8.2,20.2,8.567199209765565
523,20.295100000038182,37.80339999973923,9,0,3.275,5.4,27.7,59,8.907188539614049
524,49.64110000005774,26.665399999471006,11.4,0.192,1.4,3.6,5,13.2,10.008147675384375
525,52.56110000009965,68.74139999982118,2.8,0.039,0.525,2.8,0.8,1.2,14.572816454689171
526,48.553100000068916,40.61839999968335,3.2,0.06,1.05,2.9,2.8,3.9,10.643000107425332
527,35.56110000009965,30.00239999976158,6.5,0.095,0.875,3.6,1.8,3.5,13.46117266744477
